nl,ml
tuesday april 24 1973,1973/4/24
march 24 2011,2011/3/24
1/1/85,1985/1/1
tuesday july 13 1976,1976/7/13
monday november 11 2013,2013/11/11
march 2 2008,2008/3/2
thursday august 10 2006,2006/8/10
september 20 1970,1970/9/20
saturday may 6 1972,1972/5/6
21-Oct-92,1992/10/21
sunday october 25 2015,2015/10/25
mar 19 1990,1990/3/19
thursday december 13 2007,2007/12/13
sunday may 29 2011,2011/5/29
july 21 2010,2010/7/21
4-Jul-10,2010/7/4
friday march 18 2011,2011/3/18
thursday february 4 1982,1982/2/4
thursday february 23 1995,1995/2/23
5-Mar-08,2008/3/5
4-May-82,1982/5/4
sunday december 13 2015,2015/12/13
november 19 1986,1986/11/19
tuesday august 12 1997,1997/8/12
june 17 2009,2009/6/17
24 11 86,1986/11/24
23-Sep-73,1973/9/23
1/20/17,2017/1/20
saturday june 11 2005,2005/6/11
2-Apr-10,2010/4/2
monday january 4 2016,2016/1/4
wednesday december 15 1982,1982/12/15
18-Feb-87,1987/2/18
2002/7/13,2013/2/7
september 28 1978,1978/9/28
tuesday september 11 1979,1979/9/11
4-Apr-14,2014/4/4
30-Nov-05,2005/11/30
wednesday february 21 1990,1990/2/21
tuesday january 4 1983,1983/1/4
1/22/18,2018/1/22
mar 10 1992,1992/3/10
15 10 94,1994/10/15
18 01 07,2007/1/18
6-Oct-96,1996/10/6
monday july 4 1994,1994/7/4
mar 11 2010,2010/3/11
thursday february 23 2012,2012/2/23
october 29 2015,2015/10/29
19-Feb-74,1974/2/19
february 6 2002,2002/2/6
friday june 9 2006,2006/6/9
february 9 1980,1980/2/9
29.07.01,2001/7/29
thursday may 12 2005,2005/5/12
friday july 29 2016,2016/7/29
9-Jul-94,1994/7/9
saturday march 6 1976,1976/3/6
saturday february 8 1997,1997/2/8
7 05 87,1987/5/7
april 27 1977,1977/4/27
sunday march 24 1974,1974/3/24
14-Feb-13,2013/2/14
31-Oct-14,2014/10/31
16-Nov-11,2011/11/16
16.06.15,2015/6/16
monday august 17 1987,1987/8/17
22-Sep-15,2015/9/22
february 3 1973,1973/2/3
16-Apr-99,1999/4/16
2 05 80,1980/5/2
apr 11 1981,1981/4/11
wednesday july 31 1985,1985/7/31
thursday november 29 2007,2007/11/29
tuesday september 13 1988,1988/9/13
tuesday september 8 1998,1998/9/8
friday november 7 1986,1986/11/7
friday march 13 1987,1987/3/13
16-Aug-70,1970/8/16
november 9 1992,1992/11/9
19-May-82,1982/5/19
3-Dec-17,2017/12/3
april 9 1982,1982/4/9
wednesday december 22 1976,1976/12/22
february 9 1982,1982/2/9
tuesday september 20 1983,1983/9/20
tuesday january 8 1974,1974/1/8
24-May-16,2016/5/24
10-Jun-89,1989/6/10
2-Jan-14,2014/1/2
thursday july 15 1993,1993/7/15
8-Jun-00,2000/6/8
saturday july 24 2004,2004/7/24
15-Jan-15,2015/1/15
march 11 1986,1986/3/11
15-Jul-93,1993/7/15
monday november 16 1992,1992/11/16
thursday july 7 1994,1994/7/7
monday september 5 1977,1977/9/5
10-Jul-10,2010/7/10
wednesday november 16 1977,1977/11/16
22-Mar-97,1997/3/22
wednesday october 31 1979,1979/10/31
march 19 1996,1996/3/19
11-Nov-02,2002/11/11
monday may 12 2014,2014/5/12
september 28 1977,1977/9/28
october 30 1979,1979/10/30
wednesday august 9 1995,1995/8/9
tuesday november 22 2016,2016/11/22
14 01 98,1998/1/14
monday february 16 1987,1987/2/16
friday march 28 2003,2003/3/28
april 10 1977,1977/4/10
20.09.82,1982/9/20
20.12.14,2014/12/20
24-Dec-03,2003/12/24
sunday august 22 1993,1993/8/22
friday march 13 2009,2009/3/13
saturday december 31 2011,2011/12/31
19.11.81,1981/11/19
16-Oct-06,2006/10/16
20-Jun-17,2017/6/20
wednesday june 1 1977,1977/6/1
sunday february 1 1981,1981/2/1
13-Sep-16,2016/9/13
wednesday march 18 2009,2009/3/18
monday april 7 1975,1975/4/7
15-Jul-71,1971/7/15
21-Jan-18,2018/1/21
6-Nov-15,2015/11/6
august 30 1974,1974/8/30
3/6/80,1980/3/6
saturday february 26 1983,1983/2/26
6-Sep-96,1996/9/6
monday december 7 1981,1981/12/7
november 16 2005,2005/11/16
sep 2 1974,1974/9/2
friday july 10 1992,1992/7/10
9-Feb-75,1975/2/9
monday february 14 2000,2000/2/14
2-Jul-70,1970/7/2
monday february 23 1987,1987/2/23
22-Sep-80,1980/9/22
saturday march 1 2003,2003/3/1
6-Jan-94,1994/1/6
7-Dec-95,1995/12/7
july 31 1991,1991/7/31
thursday october 10 1985,1985/10/10
30-Apr-17,2017/4/30
sep 21 1981,1981/9/21
tuesday may 16 2000,2000/5/16
3-Sep-99,1999/9/3
13-Apr-07,2007/4/13
march 15 1972,1972/3/15
tuesday october 9 2012,2012/10/9
27-Jul-79,1979/7/27
15 05 87,1987/5/15
saturday october 11 2008,2008/10/11
21-Oct-83,1983/10/21
wednesday february 8 1978,1978/2/8
sunday august 19 1973,1973/8/19
19-Dec-70,1970/12/19
3-Aug-82,1982/8/3
june 23 2003,2003/6/23
28-Feb-70,1970/2/28
oct 2 2006,2006/10/2
26-Aug-87,1987/8/26
oct 7 2006,2006/10/7
wednesday july 6 2016,2016/7/6
tuesday january 6 2009,2009/1/6
tuesday august 12 2003,2003/8/12
21-Jan-75,1975/1/21
8-Nov-87,1987/11/8
18 11 11,2011/11/18
april 26 1984,1984/4/26
2007/12/8,2008/7/12
9-Jan-04,2004/1/9
saturday november 21 1992,1992/11/21
saturday april 29 1978,1978/4/29
monday august 31 1970,1970/8/31
29-Jul-07,2007/7/29
friday july 25 1980,1980/7/25
thursday january 4 2001,2001/1/4
monday june 19 1972,1972/6/19
may 4 2009,2009/5/4
5-Jan-77,1977/1/5
aug 2 2008,2008/8/2
july 18 1971,1971/7/18
friday march 14 1997,1997/3/14
monday may 22 1995,1995/5/22
friday march 12 1993,1993/3/12
friday february 23 2007,2007/2/23
monday december 7 1992,1992/12/7
october 18 1999,1999/10/18
wednesday march 5 2008,2008/3/5
03.01.13,2013/1/3
thursday september 27 1984,1984/9/27
wednesday september 23 1992,1992/9/23
22 04 80,1980/4/22
23-Jul-86,1986/7/23
9/18/80,1980/9/18
wednesday february 5 1997,1997/2/5
monday august 11 1997,1997/8/11
19-Nov-00,2000/11/19
monday april 16 2001,2001/4/16
wednesday january 15 1975,1975/1/15
february 24 2012,2012/2/24
wednesday january 28 2009,2009/1/28
thursday december 19 1974,1974/12/19
monday october 17 2016,2016/10/17
23-Oct-90,1990/10/23
12-Jun-04,2004/6/12
sep 2 2006,2006/9/2
25-Aug-80,1980/8/25
wednesday october 20 1971,1971/10/20
20 01 98,1998/1/20
22-Feb-17,2017/2/22
7-Oct-13,2013/10/7
6/6/96,1996/6/6
monday february 16 2009,2009/2/16
thursday september 15 1988,1988/9/15
saturday june 20 1981,1981/6/20
16.12.71,1971/12/16
december 6 1990,1990/12/6
17-Mar-98,1998/3/17
thursday february 19 1998,1998/2/19
25 06 82,1982/6/25
sunday november 23 1980,1980/11/23
wednesday september 24 1986,1986/9/24
wednesday june 17 1987,1987/6/17
wednesday september 12 2001,2001/9/12
30-Nov-74,1974/11/30
march 15 1994,1994/3/15
23-Jun-95,1995/6/23
friday november 22 2013,2013/11/22
saturday march 29 1986,1986/3/29
sunday april 17 2011,2011/4/17
friday april 1 2005,2005/4/1
19-Oct-02,2002/10/19
tuesday march 31 1970,1970/3/31
saturday november 23 2002,2002/11/23
wednesday march 31 2004,2004/3/31
13 11 90,1990/11/13
monday september 22 1975,1975/9/22
10-Mar-10,2010/3/10
sunday january 24 1993,1993/1/24
december 5 1993,1993/12/5
22-Aug-92,1992/8/22
february 13 2008,2008/2/13
friday august 15 1986,1986/8/15
sunday february 12 1984,1984/2/12
july 29 1994,1994/7/29
30-Jan-08,2008/1/30
aug 20 1976,1976/8/20
16.01.93,1993/1/16
9-Jun-99,1999/6/9
tuesday september 30 2003,2003/9/30
8-Apr-02,2002/4/8
tuesday june 2 1981,1981/6/2
saturday july 3 2010,2010/7/3
april 3 1976,1976/4/3
4 10 85,1985/10/4
9/24/94,1994/9/24
27 12 79,1979/12/27
9/10/73,1973/9/10
17 06 99,1999/6/17
2005/5/8,2008/5/5
nov 28 1997,1997/11/28
sunday february 11 1973,1973/2/11
tuesday august 11 1998,1998/8/11
12-Jan-03,2003/1/12
3 06 14,2014/6/3
friday july 17 1970,1970/7/17
30-May-07,2007/5/30
6/24/81,1981/6/24
september 28 2003,2003/9/28
wednesday january 5 2000,2000/1/5
friday march 7 1980,1980/3/7
4-Dec-83,1983/12/4
tuesday january 10 2017,2017/1/10
10-Sep-71,1971/9/10
thursday december 9 2010,2010/12/9
5/7/70,1970/5/7
jun 29 2006,2006/6/29
13-Dec-92,1992/12/13
thursday july 31 1986,1986/7/31
19-Dec-06,2006/12/19
thursday march 22 2012,2012/3/22
wednesday september 17 2014,2014/9/17
18 10 75,1975/10/18
sunday september 4 1994,1994/9/4
25.04.98,1998/4/25
19-Nov-98,1998/11/19
wednesday november 3 1993,1993/11/3
thursday august 16 1979,1979/8/16
4-Oct-93,1993/10/4
wednesday november 5 2014,2014/11/5
10-Mar-77,1977/3/10
sunday december 20 1992,1992/12/20
24 07 98,1998/7/24
friday april 7 2017,2017/4/7
july 24 1999,1999/7/24
sep 14 1998,1998/9/14
11-Nov-81,1981/11/11
tuesday july 12 2016,2016/7/12
1-Jan-96,1996/1/1
may 24 1978,1978/5/24
13 11 74,1974/11/13
friday march 9 1984,1984/3/9
wednesday april 19 2000,2000/4/19
sunday may 28 1995,1995/5/28
monday july 7 1980,1980/7/7
friday july 12 1985,1985/7/12
26-Jun-15,2015/6/26
2/13/86,1986/2/13
24-Dec-80,1980/12/24
friday august 9 1996,1996/8/9
monday october 26 1981,1981/10/26
4-Jun-05,2005/6/4
4 12 04,2004/12/4
wednesday august 24 2016,2016/8/24
tuesday september 30 2008,2008/9/30
wednesday july 19 2006,2006/7/19
apr 20 1987,1987/4/20
1/22/74,1974/1/22
jul 5 2007,2007/7/5
thursday november 7 1985,1985/11/7
thursday july 30 1998,1998/7/30
16-Mar-95,1995/3/16
13-Sep-85,1985/9/13
december 7 2008,2008/12/7
4-Jul-84,1984/7/4
3-Jan-91,1991/1/3
tuesday october 29 1991,1991/10/29
june 17 1996,1996/6/17
14-Apr-86,1986/4/14
friday june 21 1991,1991/6/21
05.12.98,1998/12/5
27-Jan-97,1997/1/27
thursday february 4 1988,1988/2/4
sunday september 13 1998,1998/9/13
october 15 1994,1994/10/15
wednesday november 16 2011,2011/11/16
friday august 22 2014,2014/8/22
1/12/81,1981/1/12
21 07 16,2016/7/21
sep 2 2005,2005/9/2
5-Oct-74,1974/10/5
sunday april 23 2006,2006/4/23
07.07.16,2016/7/7
1/12/72,1972/1/12
tuesday january 22 1974,1974/1/22
thursday april 4 1996,1996/4/4
monday july 21 1980,1980/7/21
tuesday august 8 2006,2006/8/8
thursday november 13 1986,1986/11/13
august 21 2016,2016/8/21
tuesday july 14 1981,1981/7/14
thursday july 14 1977,1977/7/14
18-Feb-04,2004/2/18
8/24/05,2005/8/24
feb 15 2008,2008/2/15
13-Jul-10,2010/7/13
1 02 04,2004/2/1
tuesday august 2 1988,1988/8/2
monday april 24 1989,1989/4/24
february 11 1972,1972/2/11
12-Sep-73,1973/9/12
saturday january 18 1997,1997/1/18
sunday april 27 1997,1997/4/27
5/30/08,2008/5/30
tuesday november 18 1975,1975/11/18
17 04 08,2008/4/17
4-Dec-79,1979/12/4
tuesday november 15 1983,1983/11/15
friday may 14 1976,1976/5/14
15.05.13,2013/5/15
wednesday april 25 1990,1990/4/25
21-Mar-13,2013/3/21
4 09 98,1998/9/4
28-Dec-09,2009/12/28
1/27/09,2009/1/27
saturday february 14 2009,2009/2/14
3/25/96,1996/3/25
16 01 15,2015/1/16
30-Jan-18,2018/1/30
sunday november 14 2010,2010/11/14
tuesday december 30 2003,2003/12/30
saturday december 8 1990,1990/12/8
monday november 18 1974,1974/11/18
september 1 2006,2006/9/1
23-Mar-84,1984/3/23
29 10 08,2008/10/29
tuesday may 18 1982,1982/5/18
february 7 1978,1978/2/7
tuesday may 5 2009,2009/5/5
4-Apr-08,2008/4/4
thursday march 9 1989,1989/3/9
april 24 1984,1984/4/24
15-Feb-88,1988/2/15
friday november 28 2003,2003/11/28
tuesday may 11 2004,2004/5/11
15-Oct-87,1987/10/15
monday august 8 2016,2016/8/8
11-Nov-80,1980/11/11
tuesday september 27 1983,1983/9/27
saturday july 18 2009,2009/7/18
wednesday february 17 1971,1971/2/17
13 06 76,1976/6/13
friday august 31 1973,1973/8/31
13-May-98,1998/5/13
10 03 87,1987/3/10
1-Mar-86,1986/3/1
26.07.91,1991/7/26
07.09.04,2004/9/7
saturday march 1 2008,2008/3/1
wednesday february 23 2005,2005/2/23
thursday december 30 2010,2010/12/30
friday january 4 1991,1991/1/4
monday june 25 2012,2012/6/25
february 28 1991,1991/2/28
september 17 1982,1982/9/17
29-Apr-94,1994/4/29
7-Dec-00,2000/12/7
22-Oct-04,2004/10/22
22-Apr-95,1995/4/22
10-Jun-97,1997/6/10
5 08 12,2012/8/5
thursday may 11 1978,1978/5/11
monday december 24 1979,1979/12/24
saturday september 15 2012,2012/9/15
saturday march 16 1996,1996/3/16
8-Jun-77,1977/6/8
21-Nov-93,1993/11/21
sunday april 2 1989,1989/4/2
may 7 1972,1972/5/7
october 12 2001,2001/10/12
8-Dec-00,2000/12/8
monday january 16 1978,1978/1/16
18-Apr-11,2011/4/18
friday april 8 1994,1994/4/8
saturday march 2 2013,2013/3/2
july 16 1995,1995/7/16
